home_uid,host_uid,llm_label,llm_reason
uns-pmf:I011,utwente:202500342,2,both teach the core of imperative programming; the host unit adds object orientation
uns-pmf:I011,utwente:202300357,0,concurrency and compilers assume programming rather than teach it
uns-pmf:I011,utwente:202500343,1,"continues the same programming line with exceptions, io and collections, not the introduction itself"
uns-pmf:I011,utwente:202500352,0,"databases, no programming fundamentals"
uns-pmf:I011,utwente:202400444,0,"project work on multi-tier systems, not an introduction to programming"
uns-pmf:I011,utwente:202500568,0,"functional and logic paradigms, a different programming model from the procedural one taught here"
uns-pmf:I011,utwente:202500331,1,"half of it is algorithmics and functional programming, overlapping only partly with procedural basics"
uns-pmf:I011,utwente:202500361,0,artificial intelligence and machine learning
uns-pmf:I011,utwente:202500332,0,databases and intelligent interaction
uns-pmf:I011,utwente:202500354,0,agile project work
uns-pmf:I011,utwente:202500333,0,computer architecture and networks
uns-pmf:I011,utwente:202500358,0,integration project across module subjects
uns-pmf:I111,utwente:202500568,1,"the logic programming half touches resolution, the rest is programming"
uns-pmf:I111,utwente:202500361,1,"covers logic and probabilistic reasoning, a part of the home syllabus, inside an ai course"
uns-pmf:I111,utwente:202500331,0,algorithms and functional programming
uns-pmf:I111,utwente:202500332,0,databases and machine learning workflows
uns-pmf:I111,utwente:202200022,1,knowledge representation and reasoning overlaps with predicate calculus and inference
uns-pmf:I111,utwente:202500333,1,"boolean logic and switching circuits appear in both, but as one half of a hardware course"
uns-pmf:I111,utwente:202300357,0,concurrency and compiler construction
uns-pmf:I111,utwente:202001047,0,group project on network topics
uns-pmf:I111,utwente:202500342,0,imperative programming
uns-pmf:I111,utwente:202200024,0,data science project
uns-pmf:I111,utwente:202500356,0,processor architecture; boolean algebra only as background
uns-pmf:I111,utwente:202500352,0,relational databases and sql
uns-pmf:I112,utwente:202500331,0,algorithms and functional programming
uns-pmf:I112,utwente:202500334,0,cryptography and law
uns-pmf:I112,utwente:202001033,0,"statistics, not analysis of real functions"
uns-pmf:I112,utwente:202500568,0,programming paradigms
uns-pmf:I112,utwente:202500361,0,artificial intelligence
uns-pmf:I112,utwente:202500333,0,computer architecture
uns-pmf:I112,utwente:202001047,0,web science project
uns-pmf:I112,utwente:202500352,0,databases
uns-pmf:I112,utwente:202500332,0,databases and intelligent interaction
uns-pmf:I112,utwente:202500343,0,programming
uns-pmf:I112,utwente:202200024,0,data science project
uns-pmf:I112,utwente:202500362,0,user experience design
uns-pmf:I112,utwente:202400362,0,networking project
uns-pmf:I112,utwente:202200023,0,explainable ai and ethics
uns-pmf:I021,utwente:202300357,0,"concurrency and compilers, assumes data structures already known"
uns-pmf:I021,utwente:202500352,0,databases
uns-pmf:I021,utwente:202500342,1,"builds on algorithms and recursion while teaching imperative programming, overlapping in part"
uns-pmf:I021,utwente:202400444,0,project on multi-tier systems
uns-pmf:I021,utwente:202200021,0,neural network architectures per data type
